parameter,value,CV,se_lin,rse_lin,P2.5_lin,P97.5_lin
log10beta_pop,-7.24424127301898,,0.0699188528522161,0.9651646075432,-7.38128,-7.1072
log10pi_pop,3.43131785993112,,0.0741842507708243,2.16197547994908,3.28592,3.57672
log10phi_pop,-6.93215736649642,,0.0207433805657521,0.299234126824735,-6.97281,-6.8915
log10rho_pop,-1.11586783536729,,0.0581204580692003,5.2085431829003,-1.22978,-1.00195
delta_pop,1.82731061781855,,0.0524641687999534,2.87111388115204,1.72738,1.93302
tau_pop,0.929853211303098,,0.0863336485166202,9.28465347725498,0.775248,1.11351
IC50_pop,4.35151446492909,,0.41013180922666,9.42503610023835,3.62193,5.22806
omega_log10beta,0.424598869600767,-5.86119171903035,0.0408239471008251,9.61470932299235,0.352124,0.51199
omega_log10pi,0.293201955972927,8.54487890488854,0.0722857030623811,24.6538952383577,0.184476,0.466009
omega_log10phi,0.061220630131913,-0.883139647518627,0.0454147114609412,74.1820385760249,0.0197695,0.189583
omega_log10rho,0.345248981274348,-30.9399527732339,0.0612058317587692,17.72802675126,0.245808,0.484919
omega_delta,0.18812209620062,18.9798839730678,0.0152408492303332,8.10157314751576,0.160626,0.220326
omega_tau,1.18616078736519,114.498807844636,0.0580515153591891,4.89406798619084,1.07785,1.30535
omega_IC50,0.809380163275201,96.1939612847329,0.0895648318796307,11.0658545815111,0.652839,1.00346
a,1.16732287950921,,0.0124430398070824,1.06594670810479,1.14319,1.19197
